Team,Elevation,LatLong
ATL,1050,33°45′18″N 84°23′24″W
BOS,141,42°21′29″N 71°03′49″W
BRK,33,40°37′29″N 73°57′8″W
CHI,594,41°50′13″N 87°41′05″W
CHO,751,35°13′37″N 80°50′36″W
CLE,653,35°13′37″N 80°50′36″W
DET,600,42°19′53″N 83°02′45″W
IND,715,39°46′N 86°9′W
MIA,7,25°46′31″N 80°12′32″W
MIL,617,43°03′8″N 87°57′21″W
NYK,33,40°42′46″N 74°00′21″W
ORL,82,28.54°N 81.38°W
PHI,39,40°00′34″N 75°08′00″W
TOR,249,43°42′N 79°24′W
WAS,205,38°53′42″N 77°02′11″W
HOU,80,29°45′46″N 95°22′59″W
GSW,52,37°47′N 122°25′W
POR,50,45°31′12″N 122°40′55″W
OKC,1201,35°28′56″N 97°32′06″W
UTA,4226,40°45′0″N 111°53′0″W
NOP,20,29°57'3.8340''N 90°4'17.5188''W
SAS,650,29°25′N 98°30′W
MIN,830,44°59′N 93°16′W
DEN,5280,39°45′43″N 104°52′52″W
LAC,305,34°03′N 118°15′W
LAL,305,34°03′N 118°15′W
SAC,30,38°33′20″N 121°28′08″W
DAL,430,32°47′N 96°48′W
MEM,337,35°07′03″N 89°58′16″W
PHO,1086,33°27′N 112°04′W