##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
13,Dom Cristiano,*,29,9-18,0-1,3-5,5-5,10,2,0,1,2,0,21
1,Ross Udine,*,23,5-13,1-4,2-3,1-1,2,2,1,5,0,0,13
0,Ethan Feldman,*,20,3-5,1-2,0-0,1-3,4,1,1,2,0,0,7
5,Bobby Hawkinson,*,23,2-6,0-0,2-2,6-7,13,4,0,2,0,0,6
11,Jule Brown,*,27,0-6,0-1,0-0,3-1,4,2,1,2,0,0,0
3,Douglas Gertner,,28,4-7,0-2,11-12,1-5,6,3,3,2,0,0,19
33,Jimmy Martinelli,,18,2-3,1-2,0-2,1-4,5,0,0,2,0,0,5
2,Cameron Moore,,21,2-10,0-4,0-0,1-4,5,2,3,4,0,0,4
21,Ted Georgiadis,,4,0-2,0-0,2-2,0-1,1,0,0,0,0,0,2
10,Joseph Stinson,,7,0-1,0-0,0-0,0-0,0,0,1,0,0,0,