,,,,,,,,NYU,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,Players,,,,,,,,,,,Lineups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Time In,Time Out,NYU In,Opp In,NYU Out,Opp Out,Lineup,PTS,2FG,3FG,FGA,3FGA,TO,ORB,DRB,FTP,PTS,2FG,3FG,FGA,3FGA,TO,ORB,DRB,FTP,Notes,Time,NYU Poss.,Opp. Poss.,Pace,OffRtg,DefRtg,NetRtg,+/-,TOV%,TS%,Ethan Feldman,Ross Udine,Cameron Moore,Bobby Hawkinson,Joseph Stinson,Jule Brown,Dom Cristiano,Ted Georgiadis,Douglas Gertner,Jimmy Martinelli,,Udine-Feldman-Brown-Hawkinson-Cristiano,Udine-Gertner-Brown-Hawkinson-Cristiano,Udine-Gertner-Brown-Martinelli-Cristiano,Udine-Gertner-Brown-Martinelli-Stinson,Moore-Gertner-Brown-Martinelli-Stinson,Moore-Gertner-Martinelli-Hawkinson-Stinson,Moore-Gertner-Martinelli-Hawkinson-Georgiadis,Moore-Gertner-Brown-Hawkinson-Georgiadis,Udine-Moore-Brown-Hawkinson-Cristiano,Udine-Moore-Brown-Martinelli-Georgiadis,Udine-Moore-Brown-Hawkinson-Georgiadis,Udine-Moore-Brown-Martinelli-Cristiano,Udine-Moore-Feldman-Martinelli-Cristiano,Udine-Moore-Martinelli-Cristiano-Stinson,Udine-Gertner-Feldman-Brown-Cristiano,Moore-Gertner-Feldman-Brown-Cristiano,Moore-Gertner-Feldman-Martinelli-Cristiano,Moore-Gertner-Feldman-Martinelli-Stinson,Moore-Gertner-Brown-Hawkinson-Cristiano,Udine-Gertner-Feldman-Hawkinson-Cristiano,Udine-Gertner-Feldman-Martinelli-Cristiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:20:00,0:15:46,0,0,3,6,Udine-Feldman-Brown-Hawkinson-Cristiano,3,1,,8,2,3,2,3,,6,3,,6,,2,,5,,,4.233,9.0,8.0,85.0,33.3,75.0,-41.7,-3,33.3,16.7,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0:15:46,0:15:17,3,6,4,6,Udine-Gertner-Brown-Hawkinson-Cristiano,1,,,,,,,1,1, ,,,1,1,,,,,,0.483,1.0,1.0,82.8,100.0,0.0,100.0,1,0.0,50.0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0:15:17,0:14:26,4,6,7,6,Udine-Gertner-Brown-Martinelli-Cristiano,3,,1,1,1,,,1,,0,,,2,,1,1,,,,0.850,1.0,2.0,47.1,300.0,0.0,300.0,3,0.0,150.0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0:14:26,0:13:20,7,6,9,6,Udine-Gertner-Brown-Martinelli-Stinson,2,,,2,,,1,1,1,0,,,1,,1,,1,,,1.100,2.0,2.0,72.7,100.0,0.0,100.0,2,0.0,50.0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0:13:20,0:12:58,9,6,9,6,Moore-Gertner-Brown-Martinelli-Stinson,0,,,,,1,,1,,0,,,1,,,,,,,0.367,1.0,1.0,109.1,0.0,0.0,0.0,0,100.0,0.0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0:12:58,0:11:58,9,6,11,8,Moore-Gertner-Martinelli-Hawkinson-Stinson,2,,,1,,,,1,1,2,,,1,,,,1,,,1.000,2.0,1.0,80.0,100.0,200.0,-100.0,0,0.0,50.0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0:11:58,0:09:55,11,8,11,10,Moore-Gertner-Martinelli-Hawkinson-Georgiadis,0,,,2,1,2,1,2,,2,1,,4,2,,1,1,,,2.050,3.0,3.0,58.5,0.0,66.7,-66.7,-2,66.7,0.0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0:09:55,0:08:34,11,10,15,10,Moore-Gertner-Brown-Hawkinson-Georgiadis,4,1,,2,,,1,1,1,0,,,1,1,2,,,,,1.350,2.0,3.0,59.3,200.0,0.0,200.0,4,0.0,100.0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0:08:34,0:05:56,15,10,21,20,Udine-Moore-Brown-Hawkinson-Cristiano,6,2,,5,1,2,1,2,1,10,1,2,6,4,1,1,1,,,2.633,7.0,6.0,106.3,85.7,166.7,-81.0,-4,28.6,42.9,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0:05:56,0:04:45,21,20,21,20,Udine-Gertner-Brown-Hawkinson-Cristiano,0,,,1,1,1,,3,,0,,,3,,,,1,,,1.183,2.0,3.0,67.6,0.0,0.0,0.0,0,50.0,0.0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0:04:45,0:03:54,21,20,23,26,Udine-Gertner-Brown-Martinelli-Cristiano,2,1,,3,,,1,,1,6,,1,2,2,,1,1,2,1-3-1 Halfcourt Trap,0.850,3.0,3.0,141.2,66.7,200.0,-133.3,-4,0.0,33.3,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0:03:54,0:01:39,23,26,25,30,Udine-Moore-Brown-Martinelli-Georgiadis,2,1,,3,,2,,3,,4,1,,4,1,,,2,1,,2.250,5.0,5.0,88.9,40.0,80.0,-40.0,-2,40.0,20.0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0:01:39,0:01:28,25,30,25,30,Udine-Moore-Brown-Hawkinson-Georgiadis,0,,,,,1,,,,0,,,,,,,,,,0.183,1.0,0.0,218.2,0.0,,0,0,100.0,0.0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0:01:28,0:00:36,25,30,25,30,Udine-Moore-Brown-Hawkinson-Cristiano,0,,,1,1,,,1,,0,,,1,,,,1,1,,0.862,1.0,2.0,46.4,0.0,0.0,0.0,0,0.0,0.0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0:00:36,0:00:15,25,30,27,32,Udine-Moore-Brown-Martinelli-Cristiano,2,1,,1,,,,1,,2,,,,,,,,1,,0.348,1.0,1.0,114.8,200.0,200.0,0.0,0,0.0,100.0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0:00:15,0:00:01,27,32,27,32,Udine-Moore-Feldman-Martinelli-Cristiano,0,,,1,1,1,1,,,0,,,,,,,,,,0.237,1.0,0.0,169.0,0.0,,0,0,100.0,0.0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0:00:01,0:00:01,27,32,27,32,Udine-Moore-Martinelli-Cristiano-Stinson,0,,,,,,,,,0,,,,,1,,,,,0.000,0.0,1.0,,,0.0,0.0,0,,,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0:00:01,0:00:00,27,32,29,32,Udine-Moore-Feldman-Martinelli-Cristiano,2,1,,1,,,,,,0,,,,,,,,,,0.020,1.0,0.0,2000.0,200.0,,200.0,2,0.0,100.0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0:20:00,0:16:11,29,32,38,36,Udine-Feldman-Brown-Hawkinson-Cristiano,9,4,,14,4,1,6,6,,4,2,,9,1,,1,4,,,3.817,9.0,8.0,94.3,100.0,50.0,50.0,5,11.1,50.0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0:16:11,0:14:25,38,36,40,40,Udine-Gertner-Feldman-Brown-Cristiano,2,1,,3,,1,1,1,,4,2,,3,1,,,1,,,1.767,3.0,3.0,67.9,66.7,133.3,-66.7,-2,33.3,33.3,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0:14:25,0:14:06,40,40,40,41,Moore-Gertner-Feldman-Brown-Cristiano,0,,,,,,,,,1,,,,,,,,1,,0.317,0.0,1.0,0.0,,100.0,-100.0,-1,,,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0:14:06,0:12:22,40,41,43,43,Moore-Gertner-Feldman-Martinelli-Cristiano,3,,1,3,2,1,,1,,2,1,,3,1,1,1,2,1,,1.733,4.0,4.0,92.3,75.0,50.0,25.0,1,25.0,37.5,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0:12:22,0:08:45,43,43,56,48,Moore-Gertner-Feldman-Martinelli-Stinson,13,4,1,6,2,2,,4,1,5,2,,6,,3,,1,,,3.617,9.0,9.0,99.5,144.4,55.6,88.9,8,22.2,72.2,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0:08:45,0:07:30,56,48,60,50,Moore-Gertner-Feldman-Martinelli-Cristiano,4,1,,1,,2,,2,1,2,1,,4,,,1,,,,1.250,4.0,3.0,128.0,100.0,66.7,33.3,2,50.0,50.0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0:07:30,0:04:39,60,50,66,58,Moore-Gertner-Brown-Hawkinson-Cristiano,6,2,,5,2,1,3,1,1,8,4,,5,,,1,,1,,2.850,4.0,5.0,56.1,150.0,160.0,-10.0,-2,25.0,75.0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0:04:39,0:02:59,66,58,70,66,Udine-Gertner-Feldman-Hawkinson-Cristiano,4,1,,3,,1,1,,1,8,3,,3,,,,1,1,,1.667,4.0,4.0,96.0,100.0,200.0,-100.0,-4,25.0,50.0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0:02:59,0:02:52,70,66,71,66,Udine-Gertner-Feldman-Martinelli-Cristiano,1,,,,,,,,1,0,,,,,,,,,,0.117,1.0,0.0,342.9,100.0,,100.0,1,0.0,50.0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,71,21,3,67,18,22,19,36,11,66,21,3,66,14,12,8,23,9,,37.13,81.0,79.0,87.3,87.7,83.5,4.1,5,27.2,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,